link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,match_score,potential_jade_link_text,potential_jade_link,link_text_match,is_legislation,is_authorised_report
3018,461,Section 321A–Bomb,s 321A(2) 10.15.1 Legislation [Last reviewed: April 2025] Criminal Code Section 321A–Bomb Hoaxes 10.15.2 Commentary [Last reviewed: April 2025] The Defendant: 1.,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.121212,(1880)5 QBD 307;,https://jade.io/citation/5314252,No Match,TRUE
3942,718,Section 433–Receiving,Criminal Code Section 432–What is tainted property for ch 41 Section 433–Receiving tainted property 13.9.2 Commentary [Last reviewed: March 2025] The defendant,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.125,"1992(Qld),",https://jade.io/article/352736,No Match,TRUE
2601,348,Section 433–Receiving,[Last reviewed: February 2025] Criminal Code Section 391–Definition of Stealing Section 433–Receiving Tainted Property 8.5.2 Commentary [Last reviewed: February 2025] The doctrine,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.126394,"(1987)74 ALR 219,",https://jade.io/article/67375,No Match,TRUE
3941,718,Section 432–What,s 433 13.9.1 Legislation [Last reviewed: March 2025] Criminal Code Section 432–What is tainted property for ch 41 Section 433–Receiving tainted property,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.144578,"1992(Qld),",https://jade.io/article/352736,No Match,TRUE
3017,459,Section 321A–Bomb,s 321A(1) 10.14.1 Legislation [Last reviewed: April 2025] Criminal Code Section 321A–Bomb Hoaxes 10.14.2 Commentary [Last reviewed: April 2025] The defendant: 1.,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.147287,"1992(Qld),",https://jade.io/article/352736,No Match,TRUE
2755,389,Section 293–Definition,2026] Criminal Code Section 291–Killing of a human being unlawful Section 293–Definition of killing Section 300–Unlawful homicide Section 303–Definition of manslaughter Section,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.153846,[2020]HCA 11).,https://jade.io/article/722112,No Match,TRUE
2707,375,Section 291–Killing,s 302(1)(b) 9.3.1 Legislation [Last reviewed: February 2025] Criminal Code Section 291–Killing of human being unlawful Section 293–Definition of killing Section 300–Unlawful,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.165289,11).,https://jade.io/article/722112,No Match,TRUE
2709,375,Section 300–Unlawful,Section 291–Killing of human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.166667,11).,https://jade.io/article/722112,No Match,TRUE
4854,904,Section 215–Engaging,16 Section 213–Owner etc. permitting abuse of children on premises Section 215–Engaging in penile intercourse with child under 16 Section 216–Abuse of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.168067,"[2013]QCA 223,[26]",https://jade.io/article/289427,No Match,TRUE
2711,375,Section 576–Indictment,293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter 9.3.2 Commentary [Last reviewed:,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.171875,11).,https://jade.io/article/722112,No Match,TRUE
4650,839,Section 275–Defence,Section 22 –Ignorance of the law—bona fide claim of right Section 275–Defence of moveable property with claim of right 17.15.2 Commentary [Last,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.172249,[2006]1 Qd R 458also,https://jade.io/article/169011,No Match,TRUE
4857,904,Section 218B–Grooming,mind Section 218A–Using internet etc. to procure children under 16 Section 218B–Grooming child under 16 years or parent or carer of child,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.17284,[2006]QCA 242R,https://jade.io/article/169359,No Match,TRUE
2756,389,Section 300–Unlawful,291–Killing of a human being unlawful Section 293–Definition of killing Section 300–Unlawful homicide Section 303–Definition of manslaughter Section 576–Indictment containing count of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.176678,"(1991)172 CLR 378,",https://jade.io/article/67628,No Match,TRUE
2710,375,Section 302–Definition,human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.180505,"(1991)172 CLR 378,",https://jade.io/article/67628,No Match,TRUE
4817,899,Section 26–,s 304A 17.26.1 Legislation [Last reviewed: March 2025] Criminal Code Section 26– Presumption of sanity Section 27– Insanity Section 304A–Diminished responsibility 17.26.2,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,0.184211,[188]),https://jade.io/citation/2681886/section/3287,No Match,TRUE
